Name,Occupation,Services,Age,Availability,Location,Rating
Abe Weyland,Administrative Officer,"Child Care,Seniors,Mental Health",30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,8.1
Nealon Reddie,Statistician I,"Seniors,Cleaning,Mental Health",36,"Sunday,Monday,Tuesday,Thursday",Southkeys,7
Daisey Janku,Executive Secretary,"Driving,Computer",63,Monday,Kemptvile,7.3
Allx Aggas,Technical Writer,"Disability,Overnight,Therapy",39,"Sunday,Tuesday,Thursday,Friday,Saturday",Orleans,7.2
Ninetta Livens,Executive Secretary,"Child Care,Seniors,Tutoring",23,"Monday,Tuesday,Saturday",Centretown,6.2
Ariella Grasser,Automation Specialist IV,"Child Care,Seniors,Tutoring",21,"Wednesday,Thursday,Saturday",Carp,6.1
Giacinta Dowson,Paralegal,"Overnight,Medical,Counselling",33,Friday,Glebe,8.3
Gretal Steeden,Electrical Engineer,Overnight,34,"Thursday,Friday",Rockland,6.4
Ferdy Been,Quality Control Specialist,"Child Care,Seniors,Cooking",26,"Tuesday,Wednesday,Friday,Saturday",Nepean,7.1
Myriam Lownsbrough,Nurse Practicioner,"Seniors,Medical,Spiritual",18,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7
Rollins Dmiterko,Nuclear Power Engineer,"Seniors,Therapy,Tutoring",39,"Sunday,Tuesday,Thursday,Friday,Saturday",Downtown,7.5
Karole Vick,Media Manager II,"Cooking,Medical,Shopping",24,"Sunday,Saturday",Kanata,7.8
Cassandre Tinham,Structural Engineer,"Child Care,Seniors,Mental Health",59,Saturday,Carp,7.9
Paco Lorincz,Engineer II,"Disability,Seniors,Overnight",19,Friday,Centretown,7.7
Nessie Hourahan,Registered Nurse,"Child Care,Overnight,Medical",53,"Sunday,Monday,Tuesday,Thursday,Friday",Rockland,6.4
Bucky Benza,Sales Representative,"Disability,Seniors,Overnight",38,Monday,Carleton Place,6.6
Gabi Postill,Professor,"Cooking,Medical,Shopping",29,"Monday,Thursday",Carp,8.2
Izzy Luther,Programmer II,"Child Care,Computer",53,"Monday,Tuesday,Wednesday,Thursday",Orleans,6.7
Wood Maxwaile,Paralegal,"Cooking,Medical",20,"Monday,Tuesday",Nepean,8.1
Moise Foulser,Automation Specialist II,"Medical,Cleaning,Mental Health",59,Thursday,Orleans,8
Justino Haggerwood,Help Desk Operator,"Seniors,Medical,Computer",21,"Monday,Wednesday,Thursday,Saturday",Downtown,6.7
Durante Dives,Media Manager I,Medical,36,"Sunday,Tuesday,Friday,Saturday",Kanata,7.9
Billy Cothey,Pharmacist,"Maternal,Medical,Driving",47,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Downtown,6.7
Loy Breagan,Social Worker,"Disability,Seniors,Overnight",54,"Sunday,Tuesday,Wednesday,Friday,Saturday",Carleton Place,6.5
