Rank,Name,Occupation,Genre,Age,Availability,Location,Rating
1,Abe Weyland,Administrative Officer,"Child Care,Seniors,Mental Health",30,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,8.1
2,Nealon Reddie,Statistician I,"Seniors,Cleaning,Mental Health",36,"Sunday,Monday,Tuesday,Thursday",Southkeys,7
3,Daisey Janku,Executive Secretary,"Driving,Computer",63,Monday,Kemptvile,7.3
4,Allx Aggas,Technical Writer,"Disability,Overnight,Therapy",39,"Sunday,Tuesday,Thursday,Friday,Saturday",Orleans,7.2
5,Ninetta Livens,Executive Secretary,"Child Care,Seniors,Tutoring",23,"Monday,Tuesday,Saturday",Centretown,6.2
6,Ariella Grasser,Automation Specialist IV,"Child Care,Seniors,Tutoring",21,"Wednesday,Thursday,Saturday",Carp,6.1
7,Giacinta Dowson,Paralegal,"Overnight,Medical,Counselling",33,Friday,Glebe,8.3
8,Gretal Steeden,Electrical Engineer,Overnight,34,"Thursday,Friday",Rockland,6.4
9,Ferdy Been,Quality Control Specialist,"Child Care,Seniors,Cooking",26,"Tuesday,Wednesday,Friday,Saturday",Nepean,7.1
10,Myriam Lownsbrough,Nurse Practicioner,"Seniors,Medical,Spiritual",18,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,7
11,Rollins Dmiterko,Nuclear Power Engineer,"Seniors,Therapy,Tutoring",39,"Sunday,Tuesday,Thursday,Friday,Saturday",Downtown,7.5
12,Karole Vick,Media Manager II,"Cooking,Medical,Shopping",24,"Sunday,Saturday",Kanata,7.8
13,Cassandre Tinham,Structural Engineer,"Child Care,Seniors,Mental Health",59,Saturday,Carp,7.9
14,Paco Lorincz,Engineer II,"Disability,Seniors,Overnight",19,Friday,Centretown,7.7
15,Nessie Hourahan,Registered Nurse,"Child Care,Overnight,Medical",53,"Sunday,Monday,Tuesday,Thursday,Friday",Rockland,6.4
16,Bucky Benza,Sales Representative,"Disability,Seniors,Overnight",38,Monday,Carleton Place,6.6
17,Gabi Postill,Professor,"Cooking,Medical,Shopping",29,"Monday,Thursday",Carp,8.2
18,Izzy Luther,Programmer II,"Child Care,Computer",53,"Monday,Tuesday,Wednesday,Thursday",Orleans,6.7
19,Wood Maxwaile,Paralegal,"Cooking,Medical",20,"Monday,Tuesday",Nepean,8.1
20,Moise Foulser,Automation Specialist II,"Medical,Cleaning,Mental Health",59,Thursday,Orleans,8
21,Justino Haggerwood,Help Desk Operator,"Seniors,Medical,Computer",21,"Monday,Wednesday,Thursday,Saturday",Downtown,6.7
22,Durante Dives,Media Manager I,Medical,36,"Sunday,Tuesday,Friday,Saturday",Kanata,7.9
23,Billy Cothey,Pharmacist,"Maternal,Medical,Driving",47,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",Downtown,6.7
24,Loy Breagan,Social Worker,"Disability,Seniors,Overnight",54,"Sunday,Tuesday,Wednesday,Friday,Saturday",Carleton Place,6.5
25,Junia Chinn,Analyst Programmer,"Child Care,Seniors,Mental Health",29,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,5.3
26,Stanleigh Kelledy,Health Coach I,Overnight,63,"Monday,Tuesday,Wednesday,Thursday,Saturday",Carp,6.8
27,Querida Curzey,Computer Systems Analyst I,"Child Care,Seniors,Medical",23,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,8.3
28,Anita Baniard,Geological Engineer,"Driving,Computer",31,Saturday,Nepean,4.7
29,Brynne Somerton,Physical Therapy Assistant,Overnight,18,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,6.2
30,Carey Mc Pake,Account Coordinator,"Child Care,Seniors,Medical",23,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Kanata,5.9
31,Sigfried Barsham,Assistant Professor,Overnight,63,"Monday,Tuesday,Wednesday,Friday",Glebe,6.3
32,Basilius Jankovsky,Environmental Specialist,"Medical,Computer",59,"Tuesday,Wednesday,Thursday,Friday",Barhaven,7.5
33,Ado Diemer,Editor,"Child Care,Seniors,Mental Health",53,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Rockland,7.1
34,Arne Aughton,Administrative Assistant II,"Child Care,Seniors,Overnight",27,"Thursday,Saturday",Centretown,8
35,Konstantine Behling,Occupational Therapist,"Child Care,Driving,Mental Health",31,"Sunday,Monday,Tuesday,Thursday,Saturday",Carleton Place,5.6
36,Cornela Carlon,Project Manager,"Child Care,Seniors,Mental Health",25,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,7.9
37,Sigrid Simcock,Recruiting Manager,"Seniors,Medical,Mental Health",28,"Tuesday,Friday",Rockland,8.6
38,Ingar Jeannesson,Business Systems Development Analyst,"Child Care,Seniors,Tutoring",30,"Sunday,Tuesday,Wednesday,Friday,Saturday",Kanata,7.6
39,Gay Carbry,Recruiting Manager,"Child Care,Seniors,Language",65,"Monday,Wednesday,Thursday,Friday",Sandy Hill,6.9
40,Carny Chillcot,Analyst Programmer,"Overnight,Medical",34,"Sunday,Monday,Tuesday,Wednesday,Friday",Glebe,7.1
41,Sayre Baillie,Financial Analyst,"Disability,Seniors,Overnight",19,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Orleans,6.3
42,Jess Hampe,Systems Administrator III,Medical,57,Tuesday,Kemptvile,7.5
43,Andris Rosbottom,Product Engineer,Driving,32,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Centretown,2.7
44,Nanon Jurs,Payment Adjustment Coordinator,"Cooking,Medical,Shopping",59,"Sunday,Monday,Wednesday,Thursday,Friday,Saturday",Kanata,7.2
45,Samuele Iacabucci,Data Coordiator,Medical,26,"Sunday,Monday,Thursday,Saturday",Orleans,6.3
46,Viviene Aberdein,Office Assistant I,"Child Care,Seniors,Tutoring",48,"Sunday,Tuesday,Thursday,Friday,Saturday",Nepean,6.7
